,Punjab,Haryana,Rajasthan,Delhi,UP,Uttarakhand,HP,J&K,Chandigarh,Chhattisgarh,Gujarat,MP,Maharashtra,Goa,DNH,Andhra Pradesh,Telangana,Karnataka,Kerala,Tamil Nadu,Pondy,Bihar,Jharkhand,Odisha,West Bengal,Sikkim,Arunachal Pradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura
02/01/2019 00:00:00,119.9,130.3,234.1,85.8,313.9,40.7,30,52.5,5,78.7,319.5,253,428.6,12.8,18.6,164.6,204.2,206.3,72.7,268.3,6.3,82.3,24.8,70.2,108.2,2,2.1,21.7,2.7,6.1,1.9,2.2,3.4
03/01/2019 00:00:00,121.9,133.5,240.2,85.5,311.8,39.3,30.1,54.1,4.9,78.8,316.7,253.6,419.6,13.7,18.2,170.1,204.5,212.2,73.6,285.2,6.5,82,25.6,67.9,110.2,1.9,2.2,23.4,2.4,6.5,1.8,2.2,3.6
04/01/2019 00:00:00,118.8,128.2,239.8,83.5,320.7,38.1,30.1,53.2,4.8,74.8,301.9,239.3,395.8,12.6,16.7,165.2,201.2,205.3,73.4,270.3,6.4,82.9,26.3,66.3,106.8,1.7,2.2,21.7,2.4,6.3,1.7,2.2,3.5
05/01/2019 00:00:00,121,127.5,239.1,79.2,299,39.2,30.2,51.5,4.3,69,313.2,228.2,411.1,13,17.6,167.4,201.7,212.4,75.4,286.8,6.6,77,23,65.8,107,2,2.2,22.5,2.7,5.7,1.8,2.3,3.5
06/01/2019 00:00:00,121.4,132.6,240.4,76.6,286.8,39.2,31,53.2,4.3,68.1,320.7,227.4,408.6,12.9,18.6,171.2,194.9,217.5,75.4,298.3,7.2,76.4,22.6,62.9,106.4,2,2.2,21.7,2.7,6.2,1.9,2.3,3.3
07/01/2019 00:00:00,118,132.1,241.9,71.1,294.2,40.1,30.1,53.3,4,73.1,319.4,230.3,408.1,12.7,18.3,166.4,191.9,217.4,74.9,294.2,7,75.3,23.9,64,109.3,1.5,2.2,21.4,2.5,6.1,1.8,2.3,3.3
